Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
MMM,MMM180119C00070000,70.00,84.66,106.58771969359834,106.58771969359834,106.58741402037892,106.58686143731424,106.54565875057823,106.58704100926538,106.58749831806799,106.58771983431144
MMM,MMM180119C00080000,80.00,86.80,97.56446705021442,97.56446705021442,97.56377105604653,97.56360132171575,97.5213582667929,97.563783871551,97.56382099345488,97.5644673721079
MMM,MMM180119C00090000,90.00,77.00,88.6251179598206,88.6251179598206,88.62407811715613,88.62430020242337,88.58018528631642,88.62448937453676,88.62395582005288,88.62511851100355
MMM,MMM180119C00100000,100.00,66.19,79.84410952333334,79.84410952333334,79.84398926603811,79.84272255029177,79.79722852936871,79.8429243152244,79.84273155676352,79.84411026862391
MMM,MMM180119C00105000,105.00,62.99,75.54216613175228,75.54216613175228,75.54232029936105,75.54108040837856,75.49390421971187,75.541289450817,75.54082487099242,75.54216693084145
MMM,MMM180119C00110000,110.00,55.00,71.31645516585982,71.31645516585982,71.31684491891244,71.31507978498652,71.26645543763935,71.3152974373137,71.31486744111481,71.31645597682252
MMM,MMM180119C00115000,115.00,30.95,67.18014342405051,67.18014342405051,67.1803167870047,67.17706811889354,67.12764219967642,67.1772956490252,67.1774407230093,67.18014419908131
MMM,MMM180119C00120000,120.00,44.52,63.14609409845051,63.14609409845051,63.14408855560491,63.14540014780576,63.088848998096616,63.145633549664055,63.14155693023802,63.146094787633075
MMM,MMM180119C00125000,125.00,44.55,59.226469779883566,59.226469779883566,59.226237300004414,59.22800486640123,59.16962834818662,59.22824975299933,59.225321199001556,59.226470334928514
MMM,MMM180119C00130000,130.00,42.40,55.432392892017816,55.432392892017816,55.434664959204554,55.431812877265585,55.375196965391,55.43206981292579,55.43155399517183,55.432393269762855
MMM,MMM180119C00135000,135.00,37.04,51.77367623730085,51.77367623730085,51.770350172551,51.774146095333926,51.70795753178538,51.77440983549099,51.76896782031243,51.77367640242187
MMM,MMM180119C00140000,140.00,32.78,48.25862893052714,48.25862893052714,48.26187788732335,48.260477652967026,48.19804079364951,48.260753357119356,48.25945511583252,48.258628857439106
MMM,MMM180119C00145000,145.00,25.76,44.89393688134178,44.89393688134178,44.89057680734538,44.894696894765744,44.823985043081926,44.894979115555,44.888738764862126,44.893936555304
MMM,MMM180119C00150000,150.00,25.47,41.68461239907448,41.68461239907448,41.68913364948462,41.68529367706054,41.62127437220993,41.68558622154231,41.68587524691144,41.684611816433545
