Symbol,Tag,Strike,Real,Barone-Adesi Whaley,Bjerksund-Stensland,FDAmerican,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
MMM,MMM160610C00162500,162.5,4.45,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04
MMM,MMM160610C00165000,165,3.28,3.543,3.543,3.543,3.543,3.543,3.543,3.543,3.543,3.543
MMM,MMM160610C00167500,167.5,1.68,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045
MMM,MMM160610C00170000,170,0.37,0,0,0,0,0,0,0,0,0
MMM,MMM160610C00172500,172.5,0.14,0,0,0,0,0,0,0,0,0
MMM,MMM160610C00175000,175,0.01,0,0,0,0,0,0,0,0,0
MMM,MMM160610C00180000,180,0.12,0,0,0,0,0,0,0,0,0
MMM,MMM160610C00190000,190,0.3,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00150000,150,16.52,18.528,18.528,18.528,18.528,18.528,18.528,18.528,18.528,18.528
MMM,MMM160617C00155000,155,12.73,13.533,13.533,13.533,13.533,13.533,13.533,13.533,13.533,13.533
MMM,MMM160617C00160000,160,10.25,8.538,8.538,8.538,8.538,8.538,8.538,8.538,8.538,8.538
MMM,MMM160617C00162500,162.5,7.54,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04
MMM,MMM160617C00165000,165,3.77,3.543,3.543,3.543,3.543,3.543,3.543,3.543,3.543,3.543
MMM,MMM160617C00167500,167.5,1.95,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045
MMM,MMM160617C00170000,170,0.85,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00172500,172.5,0.18,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00175000,175,0.11,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00177500,177.5,0.04,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00180000,180,0.01,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00185000,185,0.01,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00190000,190,0.06,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00210000,210,0.07,0,0,0,0,0,0,0,0,0
MMM,MMM160617C00220000,220,0.06,0,0,0,0,0,0,0,0,0
