Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
MMM,MMM160610C00162500,162.50,4.45,6.438600644318432,6.438600644318432,6.438840305784599,6.438803429211557,6.438533455669952,6.438803560715994,6.4386473859546705,6.438600686191873
MMM,MMM160610C00165000,165.00,3.28,4.448533407972724,4.448533407972724,4.448508259958483,4.447949507504137,4.448083354000671,4.447949697785795,4.448358408102515,4.448533331585749
MMM,MMM160610C00167500,167.50,1.68,2.8245548393512756,2.8245548393512756,2.824497166126645,2.8250393702052126,2.8239882240085907,2.8250395904128345,2.825196052005169,2.824554668809918
MMM,MMM160610C00170000,170.00,0.37,1.6275473499001536,1.6275473499001536,1.6280637428846652,1.6282134419301189,1.6275693265870665,1.628213656961544,1.628155167538838,1.6275471872809086
MMM,MMM160610C00172500,172.50,0.14,0.8425333835603687,0.8425333835603687,0.8429866786664191,0.8429349241329454,0.8425833652789598,0.8429351004546414,0.8427991915599798,0.8425333215469328
MMM,MMM160610C00175000,175.00,0.01,0.3889746525017253,0.3889746525017253,0.3891893110425759,0.38912850685593653,0.3889137015728031,0.38912862797132525,0.3890341645294346,0.38897470273906976
MMM,MMM160610C00180000,180.00,0.12,0.05782109066048738,0.05782109066048738,0.057732928550523324,0.057778473906853006,0.057657631202768296,0.057778507334206156,0.057800905090983346,0.057821192649156895
MMM,MMM160610C00190000,190.00,0.30,0.00029615319883391923,0.00029615319883391923,0.000289909168006651,0.00028933640134737136,0.0002888375497206539,0.00028933677868830444,0.00029063171529425185,0.00029615835362447305
AXP,AXP160610C00060000,60.00,5.86,5.561738362617657,5.561738362617657,5.561716205832857,5.561717056002935,5.561713818617584,5.561717056044849,5.5617142651069456,5.561738408113339
AXP,AXP160610C00062000,62.00,3.09,3.6779629612764424,3.6779629612764424,3.6778411809286093,3.6778343718075064,3.6778359359038872,3.6778343718996074,3.6777520956379615,3.677962999314729
AXP,AXP160610C00062500,62.50,1.75,3.24085337339655,3.24085337339655,3.240977733272703,3.2409779669523204,3.2409712928887204,3.240977967065411,3.240953610942151,3.2408533946931466
AXP,AXP160610C00063000,63.00,2.57,2.824416987687317,2.824416987687317,2.824220959105173,2.8242329569363167,2.8242132840229024,2.824232957071099,2.824308341037819,2.824416987052515
AXP,AXP160610C00063500,63.50,2.63,2.432415750913984,2.432415750913984,2.432622270842702,2.432619114684809,2.432613806701293,2.4326191148334555,2.4325643859213066,2.4324157254405194
AXP,AXP160610C00064000,64.00,2.00,2.068340568112658,2.068340568112658,2.0682829400440257,2.068295807357937,2.0682734381533003,2.068295807524821,2.0683806711731982,2.068340517996866
AXP,AXP160610C00064500,64.50,0.73,1.7351488979344303,1.7351488979344303,1.7354200852591122,1.7354149332617834,1.7354100431973911,1.7354149334381688,1.7353479316677414,1.735148826731994
AXP,AXP160610C00065000,65.00,0.58,1.4350316442918993,1.4350316442918993,1.4349806767929159,1.4349954800367297,1.4349701311393814,1.4349954802219753,1.4351050398561571,1.435031558568062
AXP,AXP160610C00065500,65.50,0.55,1.1692403675034335,1.1692403675034335,1.1695740258438316,1.169570186768454,1.1695633804914853,1.1695701869554673,1.1695244785856993,1.1692402759027214
AXP,AXP160610C00066000,66.00,0.29,0.9379974115749957,0.9379974115749957,0.9377503679419275,0.9377684257041227,0.9377399477390641,0.9377684258871953,0.9379176666075567,0.9379973234717878
AXP,AXP160610C00066500,66.50,0.12,0.7404990335711537,0.7404990335711537,0.7408223633060513,0.7408232388265742,0.7408123336538683,0.7408232390027996,0.7408298711711333,0.740498957662765
AXP,AXP160610C00067000,67.00,0.24,0.5750077039077247,0.5750077039077247,0.5749154546948012,0.5749012109900885,0.5749059858299682,0.5749012111564735,0.5747823109055625,0.5750076470068592
AXP,AXP160610C00067500,67.50,0.14,0.4390172904768551,0.4390172904768551,0.43914507357659444,0.4391519904252215,0.4391366990264684,0.4391519905723898,0.43922035576125557,0.43901725666747804
AXP,AXP160610C00068000,68.00,0.10,0.329466162368847,0.329466162368847,0.3296065487939037,0.3296017553439581,0.32959901910902567,0.32960175547629017,0.32957181495446985,0.3294661527391819
AXP,AXP160610C00068500,68.50,0.06,0.24296960093783176,0.24296960093783176,0.242702521756021,0.24271395373654056,0.24269633473147476,0.2427139538452842,0.2428265245068074,0.24296961381303228
AXP,AXP160610C00071000,71.00,0.06,0.04058160416600624,0.04058160416600624,0.04056826910821028,0.04056766926631596,0.040566212340815755,0.04056766930248055,0.04057223909358684,0.040581659377498205
AXP,AXP160610C00072500,72.50,0.07,0.011190994190620248,0.011190994190620248,0.011159657075485026,0.01116021311479202,0.011158911449429858,0.011160213127905601,0.011169984880727906,0.01119103160137261
AAPL,AAPL160610C00075000,75.00,17.86,22.993939696716282,22.993939696716282,22.99393941882451,22.9939394673619,22.994020074288404,22.993939504904148,22.99393949317392,22.993939696868676
AAPL,AAPL160610C00080000,80.00,18.59,17.99929728267217,17.99929728267217,17.99929158598478,17.99929176775963,17.999373580731675,17.999291805954627,17.999290927095828,17.999297289190025
AAPL,AAPL160610C00084000,84.00,13.39,14.010858938434552,14.010858938434552,14.010818463889043,14.010790714559203,14.010916895554804,14.010790760668687,14.01078652010706,14.010858981191564
AAPL,AAPL160610C00085000,85.00,13.75,13.018778712408325,13.018778712408325,13.018680303539657,13.018707533925477,13.01879115138183,13.01870758369317,13.018712425043818,13.018778771184671
AAPL,AAPL160610C00085500,85.50,8.35,12.52442213015225,12.52442213015225,12.524388139796915,12.52436349590637,12.524504454617714,12.524363550566592,12.524334355009387,12.524422197443775
AAPL,AAPL160610C00086000,86.00,7.33,12.031571302808148,12.031571302808148,12.031489265678452,12.031527712329167,12.031611824490305,12.031527769960446,12.031521457010106,12.031571378605275
AAPL,AAPL160610C00086500,86.50,8.73,11.54058019056025,11.54058019056025,11.540496798165824,11.540401894471165,11.540634444119634,11.540401959300247,11.54041983531913,11.54058027449954
AAPL,AAPL160610C00087000,87.00,13.15,11.051861462965386,11.051861462965386,11.051833282687499,11.051825079508209,11.051979898508167,11.051825148591258,11.051788929820132,11.051861554289994
AAPL,AAPL160610C00087500,87.50,8.00,10.565890235311862,10.565890235311862,10.565711010360012,10.565816338882655,10.565867622692027,10.56581641269912,10.565822619651184,10.565890332852764
AAPL,AAPL160610C00088000,88.00,9.28,10.083206687154355,10.083206687154355,10.08315632512885,10.08302770252087,10.083336188611279,10.08302778738135,10.082928192191249,10.083206789260489
AAPL,AAPL160610C00088500,88.50,8.45,9.60441727548586,9.60441727548586,9.60440626055714,9.604423060170697,9.604599439337912,9.604423151313823,9.604378265455436,9.604417380078235
AAPL,AAPL160610C00089000,89.00,9.14,9.130194277491595,9.130194277491595,9.129900807786507,9.130099722403957,9.1301084451736,9.130099820357941,9.130124598605853,9.130194382072629
AAPL,AAPL160610C00089500,89.50,8.60,8.661273438206045,8.661273438206045,8.661270834896383,8.66107728535966,8.6615107660136,8.66107739858327,8.660928559398066,8.661273539908596
AAPL,AAPL160610C00090000,90.00,7.95,8.19844955622835,8.19844955622835,8.198505464247548,8.198530076050757,8.198763153404347,8.198530197606878,8.198465436177191,8.198449651901361
AAPL,AAPL160610C00090500,90.50,7.49,7.742569914196005,7.742569914196005,7.742247277934593,7.742534257648625,7.742523710952719,7.742534387983975,7.742571987819042,7.74257000053543
AAPL,AAPL160610C00091000,91.00,7.02,7.294525546917281,7.294525546917281,7.294547081570563,7.294213801163968,7.294863552599063,7.294213950339402,7.294026049824749,7.294525620567772
AAPL,AAPL160610C00091500,91.50,6.40,6.855240434713223,6.855240434713223,6.855443294009633,6.855405451471427,6.855780794741599,6.855405610451799,6.855290700459519,6.855240492427288
AAPL,AAPL160610C00092000,92.00,5.90,6.4256588074952194,6.4256588074952194,6.425516319483315,6.425820401606508,6.425875307542686,6.4258205705840785,6.42584146312421,6.42565884628951
AAPL,AAPL160610C00092500,92.50,5.55,6.006730840716668,6.006730840716668,6.0066066702403065,6.006305270384991,6.007009224110637,6.006305449461598,6.006481618743148,6.006730858022645
AAPL,AAPL160610C00093000,93.00,5.10,5.59939711173618,5.59939711173618,5.599748314528829,5.599506531911978,5.600172508087849,5.599506731286788,5.599286404283724,5.599397105525669
